comment,label
quạt sài rất ok,0
tôi sẽ giới thiệu bạn bè,0
công suất yếu tiêu thụ điện năng cao vật liệu rẻ tiền thiết kế quá xấu làm mát yếu quạt quay kêu to làm lạnh chậm quá nóng khi sử dụng dịch vụ bảo hành kém quạt mát thiết kế quá xấu dịch vụ bảo hành kém rất thất vọng chất lượng quá tệ chất lượng quá tệ không làm việc đúng thiết kế quá xấu không hoạt động ổn định dịch vụ bảo hành kém không làm việc đúng quá nóng khi sử dụng làm lạnh chậm không làm việc đúng quạt quay kêu to ồn ào khó chịu làm lạnh chậm không làm việc đúng đóng tuyết nhanh rất thất vọng có mùi khó chịu,1
điện máy xanh nơi đáng tin cậy của khách hàng,0
rò rỉ nước rò rỉ nước máy lọc nước vật liệu rẻ tiền rất thất vọng hỏng sau vài ngày làm mát yếu quá nóng khi sử dụng ồn ào khó chịu không làm việc đúng dịch vụ bảo hành kém rò rỉ nước không làm việc đúng không đáng tiền quá nóng khi sử dụng đóng tuyết nhanh ồn ào khó chịu dịch vụ bảo hành kém có mùi khó chịu không hoạt động ổn định rò rỉ nước làm lạnh chậm ồn ào khó chịu không đáng tiền quá nóng khi sử dụng hỏng sau vài ngày quá nóng khi sử dụng làm mát yếu,1
tạm ổn,0
sau ngày sử dụng thì hoàn toàn tốt không có vấn đề gì,1
mình mua thấy cũng khá ổn nhưng thấy đằng sau không có cái gì che hết dây điện lòi cả ra,1
quạt mới mua ngày mà hôm qua đã hỏng cánh quạt kêu to rồi không chạy luôn,1
tủ này sang rẻ ngon hơn người yêu cũ làm lạnh tốt mua vì thích khay làm đá,0
tủ lạnh công suất yếu tiêu thụ điện năng cao tủ lạnh đóng tuyết nhanh tiêu thụ điện năng cao dịch vụ bảo hành kém không đáng tiền,1
sản phẩm ok tốt ngăn đông mềm linh hoạt,0
đóng tuyết nhanh không làm việc đúng không làm việc đúng dịch vụ bảo hành kém làm lạnh chậm vật liệu rẻ tiền quạt mát làm lạnh chậm không làm việc đúng làm mát yếu không hoạt động ổn định làm lạnh chậm ồn ào khó chịu thiết kế quá xấu gây tiếng ồn lớn công suất yếu có mùi khó chịu,1
rò rỉ nước ồn ào khó chịu có mùi khó chịu rò rỉ nước không hoạt động ổn định rất thất vọng rò rỉ nước vật liệu rẻ tiền làm lạnh chậm dịch vụ bảo hành kém có mùi khó chịu rò rỉ nước không hoạt động ổn định vật liệu rẻ tiền hỏng sau vài ngày dịch vụ bảo hành kém làm lạnh chậm công suất yếu thiết kế quá xấu có mùi khó chịu tiêu thụ điện năng cao vật liệu rẻ tiền thiết kế quá xấu quá nóng khi sử dụng công suất yếu,1
máy tốt dùng bền nên mua,0
dùng ok lắm ạ,0
tủ kêu lớn quá tủ đời cũ aqua kêu rất êm nhà đang xài mua thêm cái tủ này về nó kêu nhức hết đầu đưa sát tai mới nghe tiếng cái aqua còn cái samsung đứng xa mấy mét nghe rõ luôn,0
rò rỉ nước không đáng tiền không hoạt động ổn định quạt quay kêu to máy lạnh rò rỉ nước dịch vụ bảo hành kém dịch vụ bảo hành kém không làm việc đúng không hoạt động ổn định,1
quá ok mua cây luôn,0
mới dùng gần tháng nhà mình mua con này dùng êm hẳn cái tủ cũ thiết kế đẹp nghe các bạn ý tư vấn ngăn mùi tốt mình dùng thấy thế thật rất hài lòng về sản phẩm,0
máy lọc nước quá nóng khi sử dụng không làm việc đúng công suất yếu vật liệu rẻ tiền vật liệu rẻ tiền chất lượng quá tệ gây tiếng ồn lớn quá nóng khi sử dụng không hoạt động ổn định có mùi khó chịu đóng tuyết nhanh rất thất vọng máy lọc nước dịch vụ bảo hành kém dịch vụ bảo hành kém có mùi khó chịu vật liệu rẻ tiền gây tiếng ồn lớn đóng tuyết nhanh làm mát yếu gây tiếng ồn lớn công suất yếu ồn ào khó chịu rò rỉ nước,1
mua được tuần máy bị đọng sương,0
cục nóng chạy hơi ồn so với các hãng khác,0
không có dây giật,1
làm lạnh nhanh nhiệt độ tỏa đồng đều trong tủ lạnh khử mùi tốt,0
thái độ nhân viên lắp đặt cáu gắt không nhiệt tình,1
quạt chất lượng tốt nhân viên nhiệt tình chu đáo,0
công suất yếu chất lượng quá tệ không hoạt động ổn định ồn ào khó chịu quạt quay kêu to hỏng sau vài ngày rò rỉ nước,1
xài ổn,0
đang sử dụng thấy cũng ưng ý,0
từ thôi sang xịn,0
mới sài thấy cũng ok,0
ngăn đông mềm không bị tình trạng đông đá làm lạnh nhanh khử mùi tốt,1
làm lạnh chậm chất lượng quá tệ làm mát yếu có mùi khó chịu công suất yếu quá nóng khi sử dụng gây tiếng ồn lớn đóng tuyết nhanh có mùi khó chịu gây tiếng ồn lớn vật liệu rẻ tiền làm lạnh chậm công suất yếu vật liệu rẻ tiền dịch vụ bảo hành kém vật liệu rẻ tiền máy lạnh chất lượng quá tệ đóng tuyết nhanh vật liệu rẻ tiền làm mát yếu làm lạnh chậm vật liệu rẻ tiền không làm việc đúng quá nóng khi sử dụng làm mát yếu dịch vụ bảo hành kém công suất yếu đóng tuyết nhanh,1
máy lọc nhanh và tốt,0
quạt mạnh phù hợp phòng khách,0
quạt quay kêu to rò rỉ nước vật liệu rẻ tiền ồn ào khó chịu tiêu thụ điện năng cao tủ lạnh quá nóng khi sử dụng không làm việc đúng không hoạt động ổn định không làm việc đúng vật liệu rẻ tiền không làm việc đúng vật liệu rẻ tiền không hoạt động ổn định tủ lạnh chất lượng quá tệ làm mát yếu,1
rất thất vọng thiết kế quá xấu làm lạnh chậm quá nóng khi sử dụng không đáng tiền ồn ào khó chịu không hoạt động ổn định có mùi khó chịu ồn ào khó chịu gây tiếng ồn lớn dịch vụ bảo hành kém không đáng tiền không đáng tiền hỏng sau vài ngày thiết kế quá xấu không đáng tiền đóng tuyết nhanh,1
thật sự thất vọng vô cùng với cách bảo hành quá tệ của hệ thống siêu thị điện máy xanh cái quạt mua về đi bảo hành lỗi của nhà sản xuất nhân viên đmx tiếp nhận bảo hành xong về chã làm gì hết để y chang vậy thời gian sau kêu khách hàng ra lấy mình phản hồi là sản phẩm không khắc phục lỗi bị hư sao vậy nhân viên đmx lại tiếp nhận nói gửi hãng và hãng sẽ gọi lại tư vấn nhưng không thấy được thời gian đmx đưa về trét cho đống keo vô xong kêu khách hàng ra nhận mình viết thẳng lên phiếu nhạn hàng là đmx bảo hành quá tệ rất cẩu thả về mình vứt xó vì lỗi không khắc phục được không đúng như quảng cáo là tận tâm và cái kết của ht,1
chất lượng quá tệ có mùi khó chịu không làm việc đúng rất thất vọng quá nóng khi sử dụng đóng tuyết nhanh quạt quay kêu to quá nóng khi sử dụng ồn ào khó chịu chất lượng quá tệ quạt quay kêu to quá nóng khi sử dụng quạt quay kêu to công suất yếu quạt quay kêu to có mùi khó chịu không làm việc đúng đóng tuyết nhanh tiêu thụ điện năng cao rất thất vọng thiết kế quá xấu,1
không hoạt động ổn định thiết kế quá xấu có mùi khó chịu ồn ào khó chịu đóng tuyết nhanh quá nóng khi sử dụng dịch vụ bảo hành kém quá nóng khi sử dụng tiêu thụ điện năng cao gây tiếng ồn lớn hỏng sau vài ngày làm lạnh chậm dịch vụ bảo hành kém máy lọc nước làm mát yếu không hoạt động ổn định không hoạt động ổn định vật liệu rẻ tiền hỏng sau vài ngày rò rỉ nước ồn ào khó chịu không đáng tiền,1
quạt mới mua hôm qua mở lên nghe ồn hơn tiếng máy bơm nước chat trong hệ thống điện máy xanh khiếu nại không ai trả lời mặc dù chưa đến giờ vậy điện máy xanh sẽ sử lý sao với sản phẩm này đâu phải của rẻ là của ôi,0
co mình hỏi minh co lắm máy lạnh mới đây có tặng mình ống đồng và còn dư mình vậy mình nhận phiếu giảm giá hay là mua hàng được giảm giá mình mua hàng còn dư ong đồng mà không ai liên hệ,0
rất là hao điện hahaha,0
quạt tốt ổn hạn chế là góc quạt quay thấp không rộng,1
hài lòng về sp,0
dịch vụ bảo hành kém công suất yếu quá nóng khi sử dụng không hoạt động ổn định làm mát yếu chất lượng quá tệ không làm việc đúng làm lạnh chậm không đáng tiền rò rỉ nước làm mát yếu ồn ào khó chịu dịch vụ bảo hành kém gây tiếng ồn lớn làm lạnh chậm quạt quay kêu to chất lượng quá tệ máy lọc nước rò rỉ nước hỏng sau vài ngày quạt quay kêu to dịch vụ bảo hành kém ồn ào khó chịu không hoạt động ổn định làm lạnh chậm,1
hàng bụi bặm quá không vẹ sinh trước khi giao,1
quạt quay kêu to làm mát yếu không đáng tiền không đáng tiền quạt quay kêu to làm lạnh chậm công suất yếu công suất yếu,1
máy chạy kêu rất to mỗi khi rót nước dù rót cốc nước bé thôi nó cũng kêu tầm p rất khó chịu máy hàng xóm rót cả lít vẫn không kêu còn nước mát nóng đúng như nhà sản xuất nói,0
vật liệu rẻ tiền dịch vụ bảo hành kém gây tiếng ồn lớn không làm việc đúng vật liệu rẻ tiền vật liệu rẻ tiền thiết kế quá xấu quạt quay kêu to,1
sản phẩm tốt chạy êm,0
chất lượng quá tệ dịch vụ bảo hành kém thiết kế quá xấu tủ lạnh vật liệu rẻ tiền rất thất vọng làm lạnh chậm công suất yếu rất thất vọng vật liệu rẻ tiền dịch vụ bảo hành kém dịch vụ bảo hành kém tiêu thụ điện năng cao chất lượng quá tệ,1
ok tốt nhưng làm đá tự động lâu,0
quạt tiếng quay lớn gây ồn khó chịu,0
tủ lạnh ngoại hình đẹp chạy êm nói chung là ok,0
quạt quay kêu to đóng tuyết nhanh dịch vụ bảo hành kém rất thất vọng quá nóng khi sử dụng không đáng tiền đóng tuyết nhanh hỏng sau vài ngày thiết kế quá xấu quá nóng khi sử dụng thiết kế quá xấu quá nóng khi sử dụng rò rỉ nước có mùi khó chịu thiết kế quá xấu làm mát yếu rò rỉ nước làm mát yếu,1
mới mua về kêu to nhưng ngày êm lại,0
có mùi khó chịu dịch vụ bảo hành kém đóng tuyết nhanh làm mát yếu tiêu thụ điện năng cao có mùi khó chịu vật liệu rẻ tiền đóng tuyết nhanh làm mát yếu gây tiếng ồn lớn quạt quay kêu to không làm việc đúng rò rỉ nước chất lượng quá tệ công suất yếu gây tiếng ồn lớn,1
có mùi khó chịu tiêu thụ điện năng cao hỏng sau vài ngày làm mát yếu tủ lạnh có mùi khó chịu gây tiếng ồn lớn dịch vụ bảo hành kém hỏng sau vài ngày quá nóng khi sử dụng quá nóng khi sử dụng gây tiếng ồn lớn không hoạt động ổn định làm lạnh chậm không hoạt động ổn định hỏng sau vài ngày hỏng sau vài ngày hỏng sau vài ngày thiết kế quá xấu,1
hàng tốt nhé mọi người,0
ok rất ưng ý,0
hỏng sau vài ngày công suất yếu thiết kế quá xấu dịch vụ bảo hành kém có mùi khó chịu không làm việc đúng có mùi khó chịu quạt mát quạt quay kêu to dịch vụ bảo hành kém gây tiếng ồn lớn gây tiếng ồn lớn đóng tuyết nhanh chất lượng quá tệ,1
dịch vụ bảo hành kém làm mát yếu vật liệu rẻ tiền chất lượng quá tệ đóng tuyết nhanh chất lượng quá tệ quá nóng khi sử dụng rất thất vọng không hoạt động ổn định rò rỉ nước rất thất vọng đóng tuyết nhanh tiêu thụ điện năng cao không làm việc đúng quá nóng khi sử dụng tiêu thụ điện năng cao quạt quay kêu to không làm việc đúng vật liệu rẻ tiền,1
dùng quá tệ,1
quạt êm,0
có mùi khó chịu công suất yếu không làm việc đúng quạt quay kêu to làm lạnh chậm hỏng sau vài ngày hỏng sau vài ngày vật liệu rẻ tiền quá nóng khi sử dụng không làm việc đúng rò rỉ nước chất lượng quá tệ đóng tuyết nhanh gây tiếng ồn lớn gây tiếng ồn lớn đóng tuyết nhanh,1
nv ho tro tốt,0
